Tale,preprocessed_tale
"Вам не нужна сорока, Сорока без крыла? Она у нас два срока — Два месяца жила. Ее нашли в июне, Ее назвали Дуней. Скакала как зайчонок Сорока по траве, Любила у девчонок Сидеть на голове. Она однажды ложку Стащила со стола, Но, поиграв немножко, Андрюшке отдала. Он был ее любимцем, Андрюша Челноков, Она ему гостинцы Носила — червячков. Мы к ней привыкли очень, А Дуня, в тихий час, Твердила по-сорочьи: «Скучаю я без вас...» Но осень, осень скоро, В саду желтеет лист, Уже уехал в город Володя-баянист. И мы уедем... Осень... Но как мы Дуню бросим? Она у нас два срока — Два месяца жила... Вам не нужна сорока, Сорока без крыла? ",нужный сорок сорок крыло срок месяц жить наслать июнь назвать дуня скакать зайчонок сорок трава любить девчонка сидеть голова однажды ложка стащить стол поиграть немножко андрюшка отдать любимец андрюша челнок гостинец носить червячок привыкнуть очень дуня тихий час твердить скучать осень осень скоро сад желтеть лист уехать город уехать осень дуня бросить срок месяц жить нужный сорок сорок крыло
"Приехали! Приехали! Родители приехали! С конфетами, с орехами Родители приехали. Девочки и мальчики Прыгают от радости: В каждом чемоданчике Яблоки и сладости. Вот для дочки Танечки В узелочке Прянички. А вот это пироги, Для себя их береги. Вот для сына Петеньки Леденцы В пакетике. Это Пете моему, Это больше никому! И с пакетами в руках Уплетают в уголках Друг от друга По секрету Кто пирог, А кто конфету. Ходит Витя Мимо всех: «Хоть бы мне Один орех! Не дождался Я отца, Остался я Без леденца». Вдруг ребята Встали с мест: — Мы едим, А он не ест? Товарищи Родители! Хотите, Не хотите ли, Но кладите Всё на стол И делите Всё на сто! Что мы сели По углам? Всё поделим Пополам... Разделите Всё на всех: Вам орех, Нам орех... Всё у всех, Ребята, есть? Начинайте Есть! ",приехать приехать родитель приехать конфета орех родитель приехать девочка мальчик прыгать радость каждый чемоданчик яблоко сладость дочка танечка узелочек пряничек это пирог беречь сын петенька леденец пакетик это петя мой это никто пакет рука уплетать уголок друг друг секрет пирог конфета ходить витя мимо орех дождаться отец остаться леденец ребята встать место есть есть товарищ родитель хотеть хотеть класть всё стол делить всё сто сель угол всё поделить пополам разделить всё орех мы орех всё ребята начинать
"Однажды утром, как всегда, В цветник пришли ребята, А там  примята резеда, Вся резеда примята. Кто затоптал всю резеду? Кто трогал лилии в саду? Есть во дворе щенок такой: На всех он лает звонко, А помани его рукой — И он бежит вдогонку. Он мчится, ласково визжа, Он не годится в сторожа, Но, видно, этому двору Щенок пришелся ко двору. И вот щенка ведут в цветник. — Ищи! — кричат ребята. При виде сломанных гвоздик Скулит он виновато. — Ищи скорей, тут виден след! Кричат ребята снова. — Ты что, собака или нет?! — Вдруг рассердился Вова. Щенок улегся на траве. Лежит,  глаза зажмурил. — Он молод, ветер в голове! — Сказал сердито Юрий. — Да это он сломал цветы! — Вдруг догадался кто-то. Все закричали: — Это ты, Дружок? Твоя работа? ",однажды утром цветник прислать ребята примять резеда весь резеда примять затоптать резеда трогать лилия сад двор щенок лаять звонко поманить рука бежать вдогонку мчаться ласково визжать годиться сторож видно этот двор щенок прийтись двор щенок вести цветник искать кричать ребята вид сломать гвоздика скулить виновато искать скорый видный след кричать ребята снова собака рассердиться вова щенок улечься трава лежать глаз зажмурить молодой ветер голова сказать сердито юрий это сломать цветок догадаться закричать это дружок твой работа
"Тетя сказала: — Такая удача — Около станции чудная дача! Там и сосны и дубы, Земляника и грибы, И всего до нашей дачи Двадцать пять минут ходьбы. Там прекрасная природа И земля для огорода. Пригласила тетя Оля Папу, маму и меня. Предложила тетя Оля: — Приезжайте на два дня. Я вам адрес объясню: Вы выходите к плетню — Там, от станции направо, Начинается канава. Вы дойдете до сторожки И пойдете по дорожке. Там высокая ограда, Вам туда идти не надо. Вы идите прямо-прямо, На поляне будет яма. Вы дойдете до колодца, Там дорога оборвется. Поднимитесь на пригорок — Наш участок номер сорок. Про меня сказала тетя: — Вы с собой его возьмете, Он не будет нам мешать, Будет воздухом дышать... Мы дошли до поворота, Оказалось — там болото. Мы шагали по опушке, Мы взбирались на пригорок. Мы спросили у старушки: — Где участок номер сорок? А старушка нам сказала: — Это где-то у вокзала. Как нарочно, дождь закапал. — Так! — сказал сердито папа.— Говорил: возьмите зонтик, Вон гроза на горизонте! Дальше я идти не мог — Я до ниточки промок. Перешли мы через мостик. Там стояли поезда... Больше я на дачу в гости Не поеду никогда. Тете Оле напишу, Что я дома подышу. ",тётя сказать такой удача около станция чудной дача сосна дуб земляника гриб наш дача двадцать пять минута ходьба прекрасный природа земля огород пригласить тётя оля папа мама предложить тётя оля приезжать день адрес объяснить выходить плетень станция направо начинаться канава дойти сторожка пойти дорожка высокий ограда туда идти идти полянин яма дойти колодец дорога оборваться подняться пригорок наш участок номер сорок сказать тётя себя взять мы мешать воздух дышать дойти поворот оказаться болото шагать опушка взбираться пригорок спросить старушка участок номер сорок старушка мы сказать это вокзал нарочно дождь закапать сказать сердито папа говорить взять зонтик вон гроза горизонт далёкий идти мочь ниточка промокнуть переслать мостик стоять поезд дача гость поехать тета оля написать дом подышать
"Если б я была дельфином И людей спасать могла!.. Ветер лодку опрокинул: Нет ни лодки, ни весла... Все сильней бушует ветер, Налетает на причал, Он сорвал рыбачьи сети, Он все море раскачал... Если б я была дельфином, Я была бы гибкой, длинной, Я бы мчалась как стрела, Рыбака бы я спасла. В грозном море черно-синем Гибель ждет его вот-вот, Но раздался свист дельфиний — Друг на выручку плывет. У дельфина тайн немало: Как он слышит без ушей? Как сзывает по сигналам Годовалых малышей? Он от всей души резвится, Ловко скачет по волнам. Как сумел он так развиться?! Непонятно это нам. Ненадолго, хоть на месяц, Я хочу дельфином стать. Все увижу, все замечу, Стану школьницей опять. ",дельфин человек спасать мочь ветер лодка опрокинуть лодка весло сильный бушевать ветер налетать причал сорвать рыбачий сеть море раскачать дельфин гибкий длинный мчаться стрела рыбак спасти грозный море гибель ждать раздаться свист дельфиний друг выручка плыть дельфин тайна немало слышать ухо сзывать сигнал годовалый малыш весь душа резвиться ловко скакать волна суметь развиться непонятно это мы ненадолго месяц хотеть дельфин стать увидеть заметить стать школьница
"Хлещет ливень по кустам, Бьет без промаху! Всю малину исхлестал, Всю черемуху! Наклонил он ветки груш! Нужен саду свежий душ, Но зачем так сильно лить, Набок яблоню валить? Ливень! Ливень! Льется, льется, Поломал кусты ольхи. Это мне потом придется Исправлять его грехи: Перестанет ливень лить — Выйду землю порыхлить, Лужи высохнут в саду — Я порядок наведу. Ливень! Ливень! Вот так ливень! Он все громче, Говорливей! По кустам струятся воды. Хлещет, плещется вода. Испугались садоводы — Разбежались кто куда! ",хлестать ливень куст бить промах малина исхлестать черёмуха наклонить ветка груша нужный сад свежий душа сильно лить набок яблоня валить ливень ливень литься литься поломать куст ольха это прийтись исправлять грех перестать ливень лить выйти земля порыхлить лужа высохнуть сад порядок навести ливень ливень ливень громкий говорливый куст струиться вода хлестать плескаться вода испугаться садовод разбежаться
"Однажды в студеную Зимнюю пору... Отряд пионеров Готовился к сбору. А сбор был назначен Не в школе, А в поле, Где кружится ветер, Гуляет на воле. Взяли ребята Лопаты и санки, Шубы надели И шапки-ушанки. Не страшен ребятам Ни ветер, ни холод: Значок ГТО К полушубку приколот. Прохожий кричит им: — Ребята, здорово! Катаетесь с горки? Привет, детвора! — Привет! — Отвечает вожатый Сурово, - Не для катанья Нужна нам гора. Строим заставы, Чтоб ветер-бродяга Снег не раскидывал. Снег — это влага. Влага под землю Весной просочится — Выше поднимется В поле пшеница. К вечеру снова Мы ждем снегопада. Выпадет снег — Задержать его надо! Звенья работают, Заняты делом. Встала стена На фундаменте белом. Белые гребни Встают друг за другом, Путь преграждая Метелям и вьюгам. — Слушайте!— Крикнул прохожий ребятам.— В каком же вы классе, Товарищи? — В пятом... ",однажды студёный зимний пора отряд пионер готовиться сбор сбор назначить школа поле кружиться ветер гулять воля взять ребята лопата санки шуба надеть страшный ребята ветер холод значок гто полушубок приколоть прохожий кричать ребята здорово кататься горка привет детвора привет отвечать вожатый сурово катание нужный мы гора строить застава снег раскидывать снег это влага влага земля весна просочиться выше подняться поле пшеница вечер снова ждать снегопад выпасть снег задержать звено работать занятый дело встать стена фундамент белый белые гребень вставать друг друг путь преграждать метель вьюга слушайте крикнуть прохожий ребята какой класс товарищ пятый
"В саду зеленеют Ветвистые клены: Но самый высокий Стоит оголенный. Он нынешним летом Остался раздетым. Стоит среди зелени Словно скелет он. И все согласились, Что плохи дела, Что надо узнать, У кого есть пила? Солнечным утром Сосед пожилой К нашему клену Подходит с пилой. — Что ж,— говорит,— Пострадал ты от стужи, Не повезло! Но бывает и хуже... Рано ложиться Под нож, Солнце прогреет Внутри и снаружи, Может, еще оживешь... Я,— говорит,— Человек посторонний, Только таких королей Не хоронят! Все согласились: — При чем тут пила? Вдруг он и впрямь Оживет от тепла? Вдруг оживет! И зеленую крону Снова наденет он, Словно корону. ",сад зеленеть ветвистый клён самый высокий стоить оголить нынешний лето остаться раздетый стоить среди зелень словно скелет согласиться плохой дело узнать кто пила солнечный утром сосед пожилой наш клён подходить пила говорить пострадать стужа повезти бывать плохой рано ложиться нож солнце прогреть внутри снаружи ожить говорить человек посторонний такой король хоронить согласиться пила впрямь ожить тепло ожить зелёный крон снова надеть словно корона
"Что случилось? Что стряслось? На опушке крики: — Ой, девчонки, лось, лось! Он какой-то дикий! Вмиг подружки — на ольху И притихли наверху. Что случилось? Что стряслось? Хохот на опушке: — Это лошадь, а не лось! Ой, умру, подружки! ",случиться стрястись опушка крик девчонка лось лось дикий вмиг подружка ольха притихнуть наверху случиться стрястись хохот опушка это лошадь лось умереть подружка
"На лужайке Столько крика: — Посмотри-ка! — Погляди-ка! — Вся деревня Загалдела! Оказалось, Вот в чем дело: Это первая Клубника Раньше времени Поспела! ",лужайка столько крик весь деревня загалдеть оказаться дело это первый клубника ранний время поспеть
"По лесам, по лугам Птичий гомон, Птичий гам! А у Любы на лице — Равнодушие, Заскучала на крыльце, Пенье слушая: — Песня птичья далека... Мне бы — Птичьего молока! ",леса луг птичий гомон птичий гам люба лицо равнодушие заскучать крыльцо пение слушать песня птичий далёкий птичий молоко
"Всю весну мечтал Володя: «Хорошо бы сделать так, Чтоб коза на огороде Прополола весь сорняк!» Он обдумал это дело, План Володин был неплох: Чтоб коза сорняк поела, Но не трогала горох. Что она лежит без толку, Щурит глупые глаза! Ведь могла бы на прополку По утрам ходить коза. ",весна мечтать володя сделать коза огород прополоть весь сорняк обдумать это дело план володин неплохой коза сорняк поесть трогать горох лежать толк щурить глупый глаз мочь прополка утро ходить коза
"К бабушке Савельевне Мы в колхоз идем. Утопает в зелени Невысокий дом. Нам шуметь не велено, Тихо входим в сад. — Бабушка Савельевна, Впустите ребят? — Бабушка Савельевна, Верно или нет, Что на той неделе вам Минет двести лет? Старые пословицы Собирает класс, Потому приходится Беспокоить вас. Засмеялась бабушка, Шутит — ну и ну, До двухсот, ребятушки, Вряд ли дотяну. Но скажу по совести, Восемьдесят — есть. Вам нужны пословицы? Что ж, прошу присесть! Говорит Савельевна: — Где у вас тетрадь? — Бабушка помедлила, Стала вспоминать... Двадцать две пословицы Вспомнила подряд. Двадцать две пословицы, Это целый клад! А всего собрал их класс Чуть не полтораста, И они не в бровь, а в глаз Попадают часто. Ноет кто-то из ребят: —  Скучно, делать нечего.— А ему кричит отряд: — «Лежит лежень до вечера». Нынче в лагере кино, Шурке нездоровится. Говорит ему звено: —  Про тебя пословица: «Заболели кости, Так не думай в гости». Суп дежурная сварила Вместе с мухомором. Чуть беды не натворила! Ей сказали хором: —   «Какова Аксинья, Такова ботвинья». Что ж, Савельевна права, Помним мы ее слова: «Пословица Ввек не сломится». ",бабушка савелиевич колхоз идти утопать зелень невысокий дом мы шуметь велено тихо входить сад бабушка савелиевич впустить ребята бабушка савелиевич верно тот неделя минуть двести год старый пословица собирать класс приходиться беспокоить засмеяться бабушка шутить двести ребятушки вряд дотянуть сказать совесть восемьдесят нужный пословица просить присесть говорить савелиевич тетрадь бабушка помедлить стать вспоминать двадцать два пословица вспомнить подряд двадцать два пословица это целый клад собрать класс полтораста бровь глаз попадать часто ныть ребята скучно делать нечего кричать отряд лежать лежень вечер нынче лагер кино шурка нездоровиться говорить звено пословица заболеть кость думать гость суп дежурный сварить вместе мухомор беда натворить сказать хором каковой аксинья таковой ботвинья савелиевич право помнить слово пословица ввек сломиться
"Открыли школьники весной Зеленый санаторий. Там  поправляется больной На солнце, на просторе. Как там поправился нарцисс! Он опускал свой венчик вниз, Теперь окреп и вырос,— Его лечила Ира. Раскинув листья над столом, Красуется драцена. Ей залечили перелом,— Ее лечила Лена. Врачей вожатая ведет! Ребята со двора Бегут встречать их у ворот: — Идут к нам доктора! Слыхал ли кто-нибудь из вас Про доктора Петрова? Но, говорят, уже он спас Не одного больного. К врачу бегут со всех сторон: — Петров твоя фамилия? — И вот к больной подходит он. Зовут больную — лилия. — Ей нужен тщательный уход, Пускай она воды попьет. И нужно сделать колышки,— Советует Петров,— И не поить на солнышке, А так цветок здоров. Врач из кармана достает Две спичечных коробки. Он говорит ребятам: — Вот, Здесь божий коровки. Они нужны для цветников, Приносят пользу саду. Но никаких других жуков Туда пускать не надо! Ребята хвалят докторов, И всем понравился Петров. ",открыть школьник весна зелёный санаторий поправляться больной солнце простор поправиться нарцисс опускать свой венчик вниз окрепнуть вырасти лечить ир раскинуть лист стол красоваться драцена залечить перелом лечить лена врач вожатый вести ребята двор бежать встречать ворота идти мы доктор слыхать доктор петров говорить спасти один больной врач бежать сторона петров твой фамилия больной подходить звать больной лилия нужный тщательный уход пускай вода попить нужно сделать колышек советовать петров поить солнышко цветок здоровый врач карман доставать два спичечный коробка говорить ребята божий коровка нужный цветник приносить польза сад никакой другой жуков туда пускать ребята хвалить доктор весь понравиться петров
"Утром в лагере лесном Спят ребята крепким сном. По палаткам ходит дрема, Но все громче птичий гомон, Птичий щебет, птичий свист, И дает сигнал подъема Алик, лагерный горнист. Он горнит на всю округу. Так задорно он поет, Что уже бежит по лугу С полотенцами народ. Мчатся на реку ребята, Там прохладно, благодать!.. А горнист пропал куда-то! Что ж горниста не видать? Все проснулись! Всё в порядке — А горнист в пустой палатке В тишине улегся спать! Разбудил он всю округу И как принялся храпеть! Так храпит, что с перепугу Перестали птицы петь. Если с пламенным призывом Ты спешишь к кому-нибудь, Ты и сам не будь ленивым, Сам проснуться не забудь! ",утром лагер лесной спать ребята крепкий сон палатка ходить дрёма громкий птичий гомон птичий щебет птичий свист давать сигнал подъём алик лагерный горнист горнит округа задорно петь бежать луга полотенце народ мчаться река ребята прохладно благодать горнист пропасть горнист видать проснуться всё порядок горнист пустой палатка тишина улечься спать разбудить округа приняться храпеть храпеть перепуг перестать птица петь пламенный призыв спешить быть ленивый проснуться забыть
"Возле дома, на лугу, В полдень — репетиция. Пляшет, кружится в кругу Катя круглолицая. А за ней выходит Маша, То поводит плечиком, То рукой она помашет, То платочком клетчатым. Друг за другом Встали в пары Две Варвары, Две Тамары, А с плясуньей Настенькой Мальчик Коренастенький! Пляшем мы на совесть, К празднику готовясь! Чок! Чок! Каблучок! Заработаю значок Лучшего танцора! Чок! Чок! Каблучок Оторвется скоро! День, другой и трое суток Подготовка длится, У танцоров почему-то Побледнели лица. — Ох, рукой не шевельну! — Уморилась Настенька, Повалился под сосну Мальчик коренастенький! Все танцоры — вот беда! — Повалились кто куда! Раз! Раз! Перепляс! Слезы брызнули Из глаз! Нету сил у нас идти На костер прощальный, Нам бы только доползти Как-нибудь до спальни. ",возле дом луга полдень репетиция плясать кружиться круг катя круглолицый выходить маша поводить плечико рука помахать платочек клетчатый друг друг встать пара два варвара два тамара плясунья настенький мальчик коренастенький плясать совесть праздник готовиться чок чок каблучок заработать значок хороший танцор чок чок каблучок оторваться скоро день трое сутки подготовка длиться танцор побледнеть лицо рука шевельнуть умориться настенёк повалиться сосна мальчик коренастенький танцор беда повалиться перепляс слеза брызнуть глаз нету сила идти костёр прощальный мы доползти спальня
"Вот-вот листва распустится, Вот-вот придет тепло, Ну, а пока — распутица, Дороги развезло. Распутица! Распутица! Ручьи и ручейки Как зазвенят, Как пустятся Бежать вперегонки. Ноль градусов по Цельсию, И нет путей-дорог. Кричат мальчишки сельские: — Поплыли на урок? ",листва распуститься прийти тепло пока распутица дорога развезти распутица распутица ручей ручеёк зазвенеть пуститься бежать вперегонки ноль градус цельсий кричать мальчишка сельский поплыть урок
"Берегитесь, окуни, Карпы и плотвички! Рыболовное звено Едет в электричке. Всех везет на озеро Пригородный поезд... Обсуждают мальчики, У окна устроясь, Как закидывать блесну На большую глубину И какие лучше лески, Где достать бы мотыля... А в окне — в сиянье, в блеске — Перелески и поля. Набирает скорость Пригородный поезд. Кто-то чинит удочку, На скамье пристроясь, Кто-то взял с собой ведро: Рыбка красноперка, Как живое серебро, Упадет в ведерко. Льются теплые лучи, Распевают птички... Рыболовы-москвичи Едут в электричке. Берегитесь, окуни, Карпы и плотвички! ",беречься окунь карп плотвичка рыболовный звено ехать электричка везти озеро пригородный поезд обсуждать мальчик окно устроиться закидывать блесна больший глубина какой лесок достать мотыль окно сияние блеск перелесок поле набирать скорость пригородный поезд чинить удочка скамья пристроиться взять себя ведро рыбка краснопёрка живой серебро упасть ведёрко литься тёплый луч распевать птичка ехать электричка беречься окунь карп плотвичка
"Ты идешь походным шагом, Командиром будешь ты. Ты ведешь с собой в разведку Придорожные кусты. Ты скомандуешь: — За мной!— Встанут сосны за спиной. По полям, по косогорам Ты ведешь с собой полки. Поднимаются в атаку Коренастые дубки. И, построенные к бою, Пролетают над тобою В синем небе журавли. Ты скомандовал: — Летите!— И уже они вдали... ",идти походный шаг командир быть вести себя разведка придорожный куст скомандовать я встать сосна спина поле косогор вести себя полка подниматься атака коренастый дубка построить бой пролетать ты синий небо журавль скомандовать лететь вдали
"Я осторожно по бревну Иду через речонку, А за собой тяну, тяну Смешливую девчонку. Она вопит: — Ой, утону!— Она хохочет звонко, А я тяну ее, тяну, Как малого ребенка. Потом мы мчимся под дождем... Мы прыгаем по лужам, Мы под дождем Друг друга ждем. Да, я с девчонкой дружен. Кричат мальчишки мне: — Жених!— Я злюсь, конечно, Злюсь на них, Но чувств своих не выдам — Иду с небрежным видом. Пускай хоть в школьный «Крокодил» Строчат они заметку,— Я с ней дружу, я с ней ходил И в лыжную разведку. Она летит с горы крутой, Летит и не поморщится, А мне кричит: — Боюсь! Постой!— Такая уж притворщица. ",осторожно бревно идти речонка себя тянуть тянуть смешливый девчонка вопить утонуть хохотать звонко тянуть тянуть малое ребёнок мчаться дождь прыгать лужа дождь друг друг ждать девчонка дружный кричать мальчишка жених злиться злиться чувство свой выдать идти небрежный вид пускай школьный крокодил строчить заметка дружить ходить лыжный разведка лететь гора крутой лететь поморщиться кричать бояться постоять такой притворщица
"Ах-ах-ах-ах-ах-ах! Среди игрушек - паника! Все куколки в слезах - Свалился Ванька-Встанька! Матрешки тащат йод, Бинты, пакеты с ватой, А Ванька вдруг встает С улыбкой плутоватой: - Поверьте, я живой! И не нуждаюсь в няньке! Нам падать не впервой - На то мы Ваньки-Встаньки! ",среди игрушка паника куколка слеза свалиться матрёшка тащить йод бинт пакет вата ванька вставать улыбка плутоватый поверьте живой нуждаться нянька мы падать впервой
"В азбуке этой - Увидите сами! - Буквы живые: С хвостами, С усами, Бегать умеют они И летать, Ползать и плавать, Кусать и хватать... Буквы - мохнатые, Буквы - пернатые, Стройные буквы И даже горбатые, Добрые, Злые, Наземные, Водные - Кто же они? Догадались? - Животные! Азбука Пусть начинается С   - Он, Как и азбука, С «А» начинается! Взгляну На  И потихонечку вздохну: - Зачем, зачем Везли в Европу Такую Антиантилопу?!! Никакого Нет резона У себя Держать  , Так как это жвачное Грубое и мрачное!  решил, что он - жираф, И ходит, голову задрав, У всех Он вызывает смех, А он, Верблюд, плюет на всех! - Что невесел,  ? - Мало Стало Лошадей! Трудно нынче Воробью Прокормить свою семью! Как это принято у змей Кусают за ногу , А потому При встрече с ней Берите, дети, ноги в руки! Давно я не встречал ГАДЮКИ. И что-то не скучал В разлуке! Старый Ёж В лесах Кавказа Как-то встретил . - Ну и ну! - воскликнул Ёж. На кого же ты похож! Это зверюшка вполне безобидная, Правда, наружность у ней незавидная. Люди бедняжку назвали - « ». Люди, одумайтесь! Как вам не стыдно?! - Что ж ты,  , такой колючий? - Это я на всякий случай: Знаешь, кто мои соседи? Лисы, волки и медведи! Мне очень нравится   - Высокий рост и кроткий нрав. Жирафа - он ведь выше всех - Боятся даже львы. Но не вскружил такой успех Жирафу головы. Легко ломает спину льву Удар его копыта, А ест он листья и траву - И не всегда досыта... Мне очень нравится Жираф, Хотя боюсь, что он неправ! Не знает ни снега, Ни вьюги, Он и родился и вырос На юге. К пальмам И к южному небу Привык , Хотя он всего только бык. И лучший друг Честно скажет: - Ты -  ! Вот  . Он дик и злобен, Но зато вполне съедобен. Есть достоинства свои Даже у такой свиньи! Носит Мама- В теплой сумке Детвору, А ребятки-кенгурятки Целый день Играют В прятки! Всю жизнь в воде проводит  , Хотя он и не рыба. Он в море ест и в море спит, За что ему - спасибо: Тесно было бы на суше От такой огромной туши! За стеклом свернулась  . Смотрит Тупо и недобро. Видно с первого же взгляда: Мало мозга, Много яда. Считался   царем зверей, Но это было встарь. Не любят в наши дни царей, И Лев - уже не царь. Душил он зверски всех подряд, Свирепо расправлялся, А правил плохо, говорят. С делами не справлялся. Теперь сидит он присмирев, И перед ним - ограда. Он недоволен, этот Лев, Но так ему и надо! Спросил у Кенгуру: - Как выносишь ты жару? - Я от холода дрожу! - Кенгуру сказал  . Кто  Дорогу Уступит, Тот, несомненно, разумно поступит. Любо толкаться ему, толстокожему, А каково Бедняге прохожему? Как хорошо, что такие невежи Будут встречаться Все реже и реже! - Наши предки, ваши предки На одной качались ветке, А теперь нас держат в клетке. Хорошо ли это, детки? До чего красив ! У него Порок Один: Вся павлинья Красота Начинается С хвоста! - Если сможешь, угадай, Что нам скажет  - То и скажет, полагаю, Что вдолбили попугаю! Этот зайчик - наш земляк - Называется  ! Больше всех на суше он, Очень, очень добрый  . Видно, даже у зверей Тот и больше, кто добрей! Бедный  ! Несчастнее Нету Отца: На гнезде Он сидел и сидел без конца Терпеливо, Упорно, Упрямо... Из яйца Наконец Появился Птенец - И захныкал: - А где моя мама?  навек повесил нос, Грустит он об одном: Он собирался стать слоном, Да так и не дорос... : Решетка На нем нарисована четко. И очень к лицу Людоеду решетка! Вызывает удивленье Прилежание тюленье: Целый день Лежит  , И ему Лежать не лень! Жаль, тюленье прилежание - Не пример для подражания! - Я по совести скажу: Плохо, плохо мне,  , - Очень гадок я на вид... А ведь я - не ядовит! Только ночью Страшен . А при свете - Он Бессилен! Львы и тигры Приручаются. Это редко, но случается. Но никто еще пока Приручить не смог . Слава богу, Что хорек Очень маленький зверек! Зачем Такой носище ? Затем, Чтоб цапли Рыбок цапали!  всех смешит, Потому что не спешит. Но куда Спешить тому, Кто всегда в своем дому? Очень громко лает, Очень твердо знает: Тот, кто громче Скажет «гав», Тот всегда И будет прав! Нет у  Ни в чем недостатка: Внешность гиены, Лисья повадка, Заячья смелость, Волчий оскал, - Что же еще он там плачет, Шакал? Хватать, глотать Умеют  - Другой Не нужно им науки! Я про страуса, Про  , Написал бы вам Поэму, Но никак я не пойму: Эму он Или эму?! Откровенно признаю: Зверя нет На букву «Ю». Это -  . Я его Придумал сам! С виду Очень грозен  , А ведь он - большой добряк: Говорят, На нем в Тибете Смело ездят Даже дети! ",азбука увидеть сам буква живой хвост ус бегать уметь летать ползать плавать кусать хватать буква мохнатый буква пернатый стройный буква горбатый добрый злой наземный водный догадаться животное азбука пусть начинаться азбука начинаться взглянуть потихонечку вздохнуть везти европа такой антиантилопа никакой резон держать это жвачный грубый мрачный решить жираф ходить голова задрать вызывать смех верблюд плевать невесёлый мало стать лошадь трудно нынче воробей прокормить семья это принять змея кусать нога встреча брать ребёнок нога рука давно встречать гадюка скучать разлука старый лес кавказ встретить воскликнуть кто похожий это зверюшка вполне безобидный правда наружность незавидный человек бедняжка назвать человек одуматься стыдно колючий это всякий случай знать мой сосед лис волк медведь очень нравиться высокий рост кроткий нрав жираф выше бояться лев вскружить успех жираф голова легко ломать спина лев удар копыто есть лист трава досыта очень нравиться жираф хотя бояться неправый знать снег вьюга родиться вырасти юг пальма южный небо привыкнуть хотя бык хороший друг честно сказать дик злобный зато вполне съедобный достоинство свой свинья носить тёплый сумка детвора целый день играть прятки жизнь вода проводить хотя рыба море есть море спать спасибо тесно суша огромный тушить стекло свернуться смотреть тупо недобро видно первый взгляд мало мозг яд считаться царь зверь это встарь любить наш день царь лев царь душить зверски подряд свирепо расправляться правило плохо говорить дело справляться сидеть присмиреть ограда недовольный лев спросить кенгуру выносить жара холод дрожать кенгуру сказать дорога уступить несомненно разумно поступить любо толкаться толстокожий каковой бедняга прохожий такой невежа быть встречаться редкий редкий наш предок ваш предок один качаться ветка держать клетка это ребёночек красивый порка весь павлиний красота начинаться хвост смочь угадать мы сказать сказать полагать вдолбить попугай зайчик наш земляк называться суша очень очень добрый видно зверь добреть бедный несчастный нету отец гнездо сидеть сидеть конец терпеливо упорно упрямо яйцо появиться птенец захныкать мама навек повесить нос грустить один собираться стать слон дорасти решётка немой нарисовать чётко очень лицо людоед решётка вызывать удивление прилежание тюлений целый день лежать лежать лень жаль тюлений прилежание пример подражание совесть сказать плохо плохо очень гадкий вид ядовитый ночью страшный свет бессильный лев тигр приручаться это редко случаться никто пока приручить смочь слава бог хорёк очень маленький зверёк носище затем цапля рыбка цапать смешить спешить спешить тот свой дом очень громко лаять очень твёрдо знать громкий сказать гав право недостаток внешность гиена лисий повадка заячий смелость волчий оскал плакать шакал хватать глотать уметь нужно наука страус написать поэма никак понять эма эма откровенно признавать зверь буква это придумать вид очень грозный большой добряк говорить немой тибет смело ездить ребёнок
